Genre,URL
"Action (5,447)",https://myanimelist.net/anime/genre/1/Action
"Adventure (4,304)",https://myanimelist.net/anime/genre/2/Adventure
"Avant Garde (1,008)",https://myanimelist.net/anime/genre/5/Avant_Garde
Award Winning (256),https://myanimelist.net/anime/genre/46/Award_Winning
Boys Love (187),https://myanimelist.net/anime/genre/28/Boys_Love
"Comedy (7,649)",https://myanimelist.net/anime/genre/4/Comedy
"Drama (3,035)",https://myanimelist.net/anime/genre/8/Drama
"Fantasy (5,853)",https://myanimelist.net/anime/genre/10/Fantasy
Girls Love (115),https://myanimelist.net/anime/genre/26/Girls_Love
Gourmet (205),https://myanimelist.net/anime/genre/47/Gourmet
Horror (574),https://myanimelist.net/anime/genre/14/Horror
Mystery (968),https://myanimelist.net/anime/genre/7/Mystery
"Romance (2,140)",https://myanimelist.net/anime/genre/22/Romance
"Sci-Fi (3,404)",https://myanimelist.net/anime/genre/24/Sci-Fi
"Slice of Life (1,668)",https://myanimelist.net/anime/genre/36/Slice_of_Life
Sports (796),https://myanimelist.net/anime/genre/30/Sports
"Supernatural (1,519)",https://myanimelist.net/anime/genre/37/Supernatural
Suspense (444),https://myanimelist.net/anime/genre/41/Suspense
"Action (10,191)",https://myanimelist.net/manga/genre/1/Action
"Adventure (4,417)",https://myanimelist.net/manga/genre/2/Adventure
Avant Garde (88),https://myanimelist.net/manga/genre/5/Avant_Garde
Award Winning (505),https://myanimelist.net/manga/genre/46/Award_Winning
"Boys Love (10,944)",https://myanimelist.net/manga/genre/28/Boys_Love
"Comedy (15,595)",https://myanimelist.net/manga/genre/4/Comedy
"Drama (10,586)",https://myanimelist.net/manga/genre/8/Drama
"Fantasy (13,463)",https://myanimelist.net/manga/genre/10/Fantasy
"Girls Love (1,912)",https://myanimelist.net/manga/genre/26/Girls_Love
Gourmet (563),https://myanimelist.net/manga/genre/47/Gourmet
"Horror (1,898)",https://myanimelist.net/manga/genre/14/Horror
"Mystery (2,657)",https://myanimelist.net/manga/genre/7/Mystery
"Romance (18,988)",https://myanimelist.net/manga/genre/22/Romance
"Sci-Fi (3,511)",https://myanimelist.net/manga/genre/24/Sci-Fi
"Slice of Life (5,352)",https://myanimelist.net/manga/genre/36/Slice_of_Life
"Sports (1,244)",https://myanimelist.net/manga/genre/30/Sports
"Supernatural (8,213)",https://myanimelist.net/manga/genre/37/Supernatural
Suspense (767),https://myanimelist.net/manga/genre/45/Suspense
